miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-let-7e	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	let-7 reduces the expression of HMGA2 and cell proliferation.	HMGA2	SMC1L1	2007	17437991	Causal
hsa-let-7e	9952	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	SMC1L1	2007	18056805	Unspecified
hsa-let-7e	9119	acute myeloid leukemia (AML)	up-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	SMC1L1	2007	18056805	Unspecified
hsa-let-7e	9119	acute myeloid leukemia (AML)	up-regulated	microarray	One of the 33 miRNAs showing different expression levels between leukaemia samples and normal bone marrow.	unknown	SMC1L1	2008	18478077	Unspecified
hsa-let-7e	353	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	"Four hsa-miR-As (miR-210, hsa-miR-155, hsa-miR-106a, hsa-miR-17-5p) were expressed at a significantly higher level in DLBCL than in normal tissue. In contrast, the remaining 11 miRNAs (hsa-miR-150, hsa-miR-145, hsa-miR-328, hsa-miR-139, hsa-miR-99a, hsa-miR-10a, hsa-miR-95, hsa-miR-149, hsa-miR-320, hsa-miR-151,let-7e) were expressed at a significantly lower level in DLBCL."	unknown	SMC1L1	2008	18537969	Unspecified
hsa-let-7e	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	Differentially expressed following hypoxia in SCC cells.	unknown	SMC1L1	2007	17222355	Unspecified
hsa-let-7e	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	SMC1L1	2007	17616664	Unspecified
hsa-let-7e	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	SMC1L1	2008	18379589	Unspecified
hsa-let-7e	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	SMC1L1	2008	18381414	Unspecified
hsa-let-7e	2144	ovarian cancer (OC)	down-regulated	microarray	Differentially expressed miRNA in ovarian cancer tissues and cell lines.	unknown	SMC1L1	2008	18560586	Unspecified
hsa-let-7e	3829	pituitary adenoma	down-regulated	microarray	Differentially expressed between normal pituitary and pituitary adenomas.One of the 24 miRNAs able to correctly predict the nature of each sample (adenoma or normal pituitary).	unknown	SMC1L1	2007	17111382	Unspecified
hsa-let-7e	9088	psoriasis	down-regulated	microarray	Showing more than 1.7-fold change between psoriasis and healthy skin.	unknown	SMC1L1	2007	17622355	Unspecified
hsa-let-7f	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	reduced let-7 expression is significantly associated with shortened postoperative survival and that overexpression of let-7 results in the inhibition of lung cancer cell growth.	unknown	unknown	2004	15172979	Causal
hsa-miR-206	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	miR-206 regulate migration and morphology.	unknown	"Fstl1,GJA1,Utrn"	2008	18185580	Causal
hsa-let-7a	4947	cholangiocarcinoma	up-regulated	"Northern blot, qRT-PCR etc"	miRNA expression both in vitro and in vivo is altered by overexpression of IL-6; selective miRNAs including let-7a are up-regulated and contribute to the survival effects of enforced IL-6 activity; and let-7a contributes to the constitutively increased phosphorylation of Stat-3 by a mechanism involving the neurofibromatosis 2 (NF2) gene.	NF2	NF2	2007	17220301	Causal
hsa-let-7a	657	adenoma	normal	"Northern blot, qRT-PCR etc"	"Translocations involving HMGA2 and numerous translocation partners.These translocations generate a truncated HMGA2 mRNA lacking the let-7 complementary sites of the wild-type mRNA and are associated with the indicated tumors. In its 3'UTR, human HMGA2 has seven let-7 complementary sites, all of which are conserved in the mouse, rat, dog, and chicken."	HMGA2	NF2	2007	17322030	Causal
hsa-let-7a	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	"Increased let-7 paralleled reduced H-RAS and HMGA2, known let-7 targets. Silencing H-RAS in a breast tumor-initiating cells(BTIC)- enriched cell line reduced self renewal but had no effect on differentiation, while silencing HMGA2 enhanced differentiation but did not affect self renewal. Therefore let-7 regulates multiple BT-IC stem cell-like properties by silencing more than one target."	"RAS, HMGA2"	NF2	2007	18083101	Causal
hsa-let-7a	8584	Burkitt lymphoma	down-regulated	"Northern blot, qRT-PCR etc"	Regulation of MYC mRNA by let-7a was confirmed by transfections with pre-let-7a. Overexpression of let-7a(190%) decreased Myc mRNA (70%) and protein (75%).	MYC	NF2	2007	17942906	Causal
hsa-let-7a	5517	gastric cancer (stomach cancer)	down-regulated	"Northern blot, qRT-PCR etc"	"High expression of HMGA2 in gastric cancer correlates with tumor invasiveness and is an independent prognostic factor. Furthermore, our findings suggest that HMGA2 is negatively regulated by the let-7 miRNA family in human gastric cancer."	HMGA2	NF2	2008	18413822	Causal
hsa-let-7a	3462	hamartoma	normal	"Northern blot, qRT-PCR etc"	"Translocations involving HMGA2 and numerous translocation partners.These translocations generate a truncated HMGA2 mRNA lacking the let-7 complementary sites of the wild-type mRNA and are associated with the indicated tumors. In its 3'UTR, human HMGA2 has seven let-7 complementary sites, all of which are conserved in the mouse, rat, dog, and chicken."	HMGA2	NF2	2007	17322030	Causal
hsa-let-7a	8567	Hodgkin's lymphoma	up-regulated	"Northern blot, qRT-PCR etc"	"miR-9 and let-7a functionally targeted specific binding sites in the 3' untranslated region of PRDM1/blimp-1 mRNA and repressed luciferase reporter activities through repression of translation. Similar to their in vitro counterparts, the majority of HRS cells in primary Hodgkin lymphoma (HL) cases showed weak or no PRDM1/Blimp-1 expression. Over-expression of miR-9 or let-7a reduced PRDM1/Blimp-1 levels in U266 cells by 30% to 50%, whereas simultaneous inhibition of their activities in L428 cells resulted in an approximately 2.6-fold induction in PRDM1/Blimp-1. MiRNA-mediated down-regulation of PRDM1/Blimp-1 may contribute to the phenotype maintenance and pathogenesis of HRS cells by interfering with normal B-cell terminal differentiation, thus representing a novel molecular lesion, as well as a potential therapeutic target in HL."	PRDM1/Blimp-1	NF2	2008	18583325	Causal
hsa-let-7a	9291	lipoma	normal	"Northern blot, qRT-PCR etc"	Translocations involving HMGA2 and numerous translocation partners.These translocations generate					
"a truncated HMGA2 mRNA lacking the let-7 complementary sites of the wild-type mRNA and are associated with the indicated tumors. In its 3'UTR, human HMGA2 has seven let-7 complementary sites, all of which are conserved in the mouse, rat, dog, and chicken."	HMGA2	NF2	2007	17322030	Causal	1	126			
hsa-let-7a	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	reduced let-7 expression is significantly associated with shortened postoperative survival and that overexpression of let-7 results in the inhibition of lung cancer cell growth.	unknown	NF2	2004	15172979	Causal
hsa-let-7a	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	"Overexpression of let-7 can inhibit lung tumor cell line growth.the expression of the RAS oncogene is regulated by let-7, and RAS is significantly overexpressed in lung tumor samples strongly implicate let-7 as a tumor suppressor in lung tissue and suggests a possible mechanism."	RAS	NF2	2005	15766527	Causal
hsa-let-7a	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	Overexpression of let-7 in lung cancer cell lines alters cell cycle progression and reduces cell division.multiple genes involved in cell cycle and cell division functions are also directly or indirectly repressed by let-7.	"CDK6, CDC25A"	NF2	2007	17699775	Causal
hsa-let-7a	2691	myoma	normal	"Northern blot, qRT-PCR etc"	"Translocations involving HMGA2 and numerous translocation partners.These translocations generate a truncated HMGA2 mRNA lacking the let-7 complementary sites of the wild-type mRNA and are associated with the indicated tumors. In its 3'UTR, human HMGA2 has seven let-7 complementary sites, all of which are conserved in the mouse, rat, dog, and chicken."	HMGA2	NF2	2007	17322030	Causal
hsa-let-7a	3908	non-small cell lung cancer (NSCLC)	down-regulated	"Northern blot, qRT-PCR etc"	"A five-microRNA signature (let-7a, miR-221, miR-137, miR-372, and miR-182*) that is associated with survival and cancer relapse in NSCLC patients. This microRNA signature was validated by the testing set and an independent cohort. Patients with high-risk scores in their microRNA signatures had poor overall and disease-free survivals compared to the low-risk-score patients. This microRNA signature is an independent predictor of the cancer relapse and survival of NSCLC patients.promoted invasiveness of lung cancer cell lines."	unknown	NF2	2008	18167339	Causal
hsa-let-7a	2144	ovarian cancer (OC)	down-regulated	"Northern blot, qRT-PCR etc"	let-7 Regulates HMGA2 Expression in ovarian cancer (OC) and Predicts Disease Progression.	HMGA2	NF2	2007	17600087	Causal
hsa-let-7a	1115	sarcoma	normal	"Northern blot, qRT-PCR etc"	"Translocations involving HMGA2 and numerous translocation partners.These translocations generate a truncated HMGA2 mRNA lacking the let-7 complementary sites of the wild-type mRNA and are associated with the indicated tumors. In its 3'UTR, human HMGA2 has seven let-7 complementary sites, all of which are conserved in the mouse, rat, dog, and chicken."	HMGA2	NF2	2007	17322030	Causal
hsa-let-7a	9952	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	NF2	2007	18056805	Unspecified
hsa-let-7a	9119	acute myeloid leukemia (AML)	up-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	NF2	2007	18056805	Unspecified
hsa-let-7a	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	let-7a is conserved broadly in many animal species with higher levels in differentiated normal cells and to be decreased in tumoral undifferentiated cells.	unknown	NF2	2007	17989717	Unspecified
hsa-let-7a	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	The expression of let-7 miRNA in tumour tissues was considerably down-regulated by over 90% in two of					
the eight patients compared with the expression in adjacent normal tissues from the same patient.	unknown	NF2	2007	17944059	Unspecified	0	137			
hsa-let-7a	4001	epithelial ovarian cancer (EOC)	down-regulated	microarray	Differentially expressed between tumors and normals.	unknown	NF2	2007	17875710	Unspecified
hsa-let-7a	5517	gastric cancer (stomach cancer)	down-regulated	"Northern blot, qRT-PCR etc"	"The expression level of let-7a miRNA in tumors was significantly lower (down-regulation rate over 2-fold) in 14 patients tested. However, in the other 18 patients, no significant difference in let-7a miRNA expression was observed between tumors and normal tissues, and the up- or down-regulation rates were within two-fold."	unknown	NF2	2007	17569129	Unspecified
hsa-let-7a	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	NF2	2008	18379589	Unspecified
hsa-let-7a	3191	nemaline myopathy (NM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	NF2	2007	17942673	Unspecified
hsa-let-7a	10286	prostate cancer	down-regulated	microarray	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	NF2	2007	17616669	Unspecified	0	142			
hsa-let-7a-1	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	"let-7 low-expressing DLD-1 human colon cancer cells were transfected with let-7a-1 precursor miRNA, the cells underwent significant growth suppression. At that time, the levels of RAS and c-myc proteins were lowered after the transfection, whereas the levels of both of their mRNAs remained almost unchanged."	"RAS,c-myc"	unknown	2006	16651716	Causal
hsa-let-7a-1	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	"Three of the deregulated miRNAs (miR-221, let-7a-1, and miR-122a) were further assayed by Northern blot and quantitative realtime RT-PCR for validation purposes.Overall, Northern blot analysis revealed that miR-221 was up-regulated in 83% of HCCs when compared with matched cirrhotic tissue, let-7a-1 was down-regulated in 70% of HCCs, and miR-122a resulted down-regulated in 70%"					
